Location_Cell_Rack_idRack,Location_Cell_idLocation_Cell,row_cell,column_cell,idLocation_Cell_Detail,availability,Location_Cell_idLocation_Cell
2,28,6,3,1,1,28
2,28,6,3,2,1,28
2,29,6,4,1,1,29
2,54,6,4,1,1,54
2,29,6,4,2,1,29
2,54,6,4,2,1,54
2,30,6,5,1,1,30
2,30,6,5,2,1,30
2,55,6,5,1,1,55
2,55,6,5,2,1,55
2,56,6,6,2,1,56
2,56,6,6,1,1,56
2,57,6,7,1,1,57
2,57,6,7,2,1,57
2,58,6,8,1,1,58
2,58,6,8,2,1,58
2,59,6,9,1,1,59
2,59,6,9,2,1,59
2,60,6,10,2,1,60
2,60,6,10,1,1,60
2,61,7,1,1,1,61
2,61,7,1,2,1,61
2,31,7,1,1,1,31
2,31,7,1,2,1,31
2,32,7,2,1,1,32
2,62,7,2,1,1,62
2,32,7,2,2,1,32
2,62,7,2,2,1,62
2,33,7,3,1,1,33
2,33,7,3,2,1,33
2,63,7,3,1,1,63
2,63,7,3,2,1,63
2,64,7,4,2,1,64
2,34,7,4,1,1,34
2,34,7,4,2,1,34
2,64,7,4,1,1,64
2,65,7,5,1,1,65
2,65,7,5,2,1,65
2,35,7,5,1,1,35
2,35,7,5,2,1,35
2,66,7,6,1,1,66
2,66,7,6,2,1,66
2,67,7,7,1,1,67
2,67,7,7,2,1,67
2,68,7,8,2,1,68
2,68,7,8,1,1,68
2,69,7,9,1,1,69
2,69,7,9,2,1,69
2,70,7,10,1,1,70
2,70,7,10,2,1,70
2,36,8,1,1,1,36
2,36,8,1,2,1,36
2,71,8,1,1,1,71
2,71,8,1,2,1,71
2,72,8,2,2,1,72
2,37,8,2,1,1,37
2,37,8,2,2,1,37
2,72,8,2,1,1,72
2,73,8,3,1,1,73
2,73,8,3,2,1,73
2,38,8,3,1,1,38
2,38,8,3,2,1,38
2,39,8,4,1,1,39
2,74,8,4,1,1,74
2,39,8,4,2,1,39
2,74,8,4,2,1,74
2,40,8,5,1,1,40
2,40,8,5,2,1,40
2,75,8,5,1,1,75
2,75,8,5,2,1,75
2,76,8,6,2,1,76
2,76,8,6,1,1,76
2,77,8,7,1,1,77
2,77,8,7,2,1,77
2,78,8,8,1,1,78
2,78,8,8,2,1,78
2,79,8,9,1,1,79
2,79,8,9,2,1,79
2,80,8,10,2,1,80
2,80,8,10,1,1,80
2,81,9,1,1,1,81
2,81,9,1,2,1,81
2,41,9,1,1,1,41
2,41,9,1,2,1,41
2,42,9,2,1,1,42
2,82,9,2,1,1,82
2,42,9,2,2,1,42
2,82,9,2,2,1,82
2,43,9,3,1,1,43
2,43,9,3,2,1,43
2,83,9,3,1,1,83
2,83,9,3,2,1,83
2,84,9,4,2,1,84
2,44,9,4,1,1,44
2,44,9,4,2,1,44
2,84,9,4,1,1,84
2,85,9,5,1,1,85
2,85,9,5,2,1,85
2,45,9,5,1,1,45
2,45,9,5,2,1,45
2,86,9,6,1,1,86
2,86,9,6,2,1,86
2,87,9,7,1,1,87
2,87,9,7,2,1,87
2,88,9,8,2,1,88
2,88,9,8,1,1,88
2,89,9,9,1,1,89
2,89,9,9,2,1,89
2,90,9,10,1,1,90
2,90,9,10,2,1,90
2,46,10,1,1,1,46
2,46,10,1,2,1,46
2,91,10,1,1,1,91
2,91,10,1,2,1,91
2,92,10,2,2,1,92
2,47,10,2,1,1,47
2,47,10,2,2,1,47
2,92,10,2,1,1,92
2,93,10,3,1,1,93
2,93,10,3,2,1,93
2,48,10,3,1,1,48
2,48,10,3,2,1,48
2,49,10,4,1,1,49
2,94,10,4,1,1,94
2,49,10,4,2,1,49
2,94,10,4,2,1,94
2,50,10,5,1,1,50
2,50,10,5,2,1,50
2,95,10,5,1,1,95
2,95,10,5,2,1,95
2,96,10,6,2,1,96
2,96,10,6,1,1,96
2,97,10,7,1,1,97
2,97,10,7,2,1,97
2,98,10,8,1,1,98
2,98,10,8,2,1,98
2,99,10,9,1,1,99
2,99,10,9,2,1,99
2,100,10,10,2,1,100
2,100,10,10,1,1,100
